Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,100,0.200000,0.100000,Roulette,One point
,,,,Roulette sections,100,
,,,,Tournament members,2,
,,,,,,
32,6.000000,400.679993,713.290894,133.428253,59.485859,53.819935,53.988232,50.463593,79.858307,79.712982,79.653885,77.036995,30.004601,30.366070,30.828886,31.408361,<1.156525 | 18.825108>,<-40.061607 | -22.668242>,<7.104721 | 26.722876>,<-44.646679 | -28.672623>,<82.633698 | 82.633698>,<-3.093624 | -3.093624>,<156.720428 | 156.720428>,<-0.735428 | -0.735428>,<-116.675316 | -116.675316>,<-138.612442 | -138.612442>,<-117.800446 | -117.800446>,<-109.705452 | -109.705452>
33,8.000000,414.600006,760.446472,134.849365,58.784668,54.593884,52.283218,49.786057,79.858307,79.712982,79.653885,77.746078,30.004601,30.366070,30.828886,31.408361,<1.837006 | 20.807838>,<-39.566589 | -21.041302>,<7.939934 | 26.732046>,<-44.329887 | -28.824295>,<146.392639 | 146.392639>,<-3.093624 | -3.093624>,<158.661743 | 158.661743>,<-0.148701 | -0.148701>,<-85.734886 | -85.734886>,<-153.986282 | -153.986282>,<-89.585464 | -89.585464>,<-111.389709 | -111.389709>
34,8.000000,417.510010,752.895508,201.081207,58.281410,56.908901,52.815395,51.369297,79.858307,79.712982,79.653885,76.293655,30.004601,30.147602,30.828886,31.408361,<5.947511 | 22.152803>,<-41.090836 | -24.000130>,<5.745064 | 26.427574>,<-46.672882 | -29.830927>,<147.142975 | 147.142975>,<-2.065948 | -2.065948>,<150.103790 | 150.103790>,<-0.735428 | -0.735428>,<-36.292770 | -36.292770>,<-142.289566 | -142.289566>,<-144.003738 | -144.003738>,<-149.417526 | -149.417526>
35,5.000000,457.709991,856.803955,198.473526,58.782856,56.733364,51.434097,50.174156,79.858307,79.418915,79.653885,78.444763,34.680222,30.147602,30.828886,31.408361,<5.734396 | 20.872503>,<-36.414494 | -20.633020>,<9.014477 | 25.735640>,<-45.477119 | -28.916548>,<147.142975 | 147.142975>,<-3.093624 | -3.093624>,<150.103790 | 150.103790>,<-0.735428 | -0.735428>,<-95.032516 | -95.032516>,<-127.786880 | -127.786880>,<-99.473099 | -99.473099>,<-149.417526 | -149.417526>
36,9.000000,426.220001,854.938354,172.159698,59.209579,55.674908,50.766556,49.664116,79.858307,73.940308,76.826752,78.659073,31.722200,30.140310,30.828886,30.924448,<2.343667 | 22.405876>,<-39.474247 | -23.828588>,<4.838590 | 29.422764>,<-47.402821 | -29.045095>,<147.142975 | 147.142975>,<-3.093624 | -3.093624>,<155.016174 | 155.016174>,<-0.735428 | -0.735428>,<-118.734367 | -118.734367>,<-131.068695 | -131.068695>,<-99.473099 | -99.473099>,<-149.417526 | -149.417526>
37,8.000000,376.480011,700.790588,165.980225,57.937714,56.677074,49.473255,48.329750,79.858307,77.850555,76.826752,79.046677,30.701164,30.147602,31.756413,31.408361,<1.771080 | 23.690758>,<-39.206181 | -23.974342>,<0.923124 | 30.194216>,<-49.210934 | -31.164934>,<147.142975 | 147.142975>,<-3.093624 | -3.093624>,<155.016174 | 155.016174>,<-0.735428 | -0.735428>,<-146.488510 | -146.488510>,<-127.786880 | -127.786880>,<-156.847366 | -156.847366>,<-154.670761 | -154.670761>
38,7.000000,418.290009,846.237061,159.336502,57.604103,56.179855,48.836288,48.565556,79.858307,79.415436,76.826752,79.046677,35.160435,30.147602,31.135422,31.408361,<-1.500127 | 22.651297>,<-40.394123 | -24.756836>,<2.021249 | 29.690134>,<-49.813999 | -31.785986>,<154.350403 | 154.350403>,<-1.996712 | -1.996712>,<150.103790 | 150.103790>,<-0.249733 | -0.249733>,<-150.183334 | -150.183334>,<-145.686661 | -145.686661>,<-116.855827 | -116.855827>,<-149.417526 | -149.417526>
39,6.000000,406.720001,711.826599,132.114685,58.716953,57.018211,48.821915,48.970474,79.858307,79.415436,76.110840,79.046677,35.160435,30.695353,31.135422,31.408361,<1.447514 | 20.192938>,<-39.675060 | -22.948797>,<5.180659 | 27.003237>,<-46.659981 | -30.670000>,<148.594330 | 148.594330>,<-2.348499 | -2.348499>,<148.812439 | 148.812439>,<-0.249733 | -0.249733>,<-85.839096 | -85.839096>,<-151.102203 | -151.102203>,<-134.385223 | -134.385223>,<-124.933304 | -124.933304>
40,9.000000,396.230011,736.638123,148.557205,58.653122,57.321564,48.637821,48.518139,79.858307,79.453568,79.955956,76.518051,33.289700,30.695353,30.314901,31.408361,<0.570537 | 22.962351>,<-41.972130 | -21.721861>,<-1.594944 | 26.827950>,<-47.986256 | -29.956676>,<148.594330 | 148.594330>,<-0.174885 | -0.174885>,<135.588654 | 135.588654>,<-0.249733 | -0.249733>,<-116.030243 | -116.030243>,<-151.102203 | -151.102203>,<-158.566574 | -158.566574>,<-153.482712 | -153.482712>
41,7.000000,404.070007,736.505005,155.173691,59.546860,57.673729,47.439667,49.143639,79.858307,79.453568,79.955956,79.455200,33.289700,31.088280,30.344620,31.408361,<-3.145813 | 22.098757>,<-39.986229 | -21.022444>,<1.150288 | 25.984909>,<-46.613659 | -27.844934>,<148.594330 | 148.594330>,<-0.174885 | -0.174885>,<153.835571 | 153.835571>,<-0.249733 | -0.249733>,<-151.536285 | -151.536285>,<-151.102203 | -151.102203>,<-140.521835 | -140.521835>,<-148.666611 | -148.666611>
