Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.200000,0.010000,Tournament,Heuristic
,,,,Tournament members,100,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
22,6.000000,351.459991,602.283875,150.221619,64.870735,66.420822,70.234962,62.100952,79.648514,79.994400,79.853981,79.569733,30.404474,35.196171,31.537359,30.512335,<48.464985 | 59.939785>,<-78.947487 | -59.508095>,<18.733696 | 73.871437>,<-84.085548 | -30.000635>,<158.710709 | 158.710709>,<-0.023757 | -0.023757>,<159.920654 | 159.920654>,<-0.026967 | -0.026967>,<-89.675644 | -89.675644>,<-159.928543 | -159.928543>,<-121.696014 | -121.696014>,<-159.830795 | -159.830795>,<19.768780 | 19.902086>,<-25.464083 | -1.565941>,<11.642839 | 30.370777>,<-17.214325 | -2.837336>,70.301575,75.490555,67.818604,50.754639
23,7.000000,345.790009,608.648010,163.842346,64.862938,66.935020,69.808144,62.170631,79.304245,79.994400,79.981972,79.569733,30.404474,39.827564,31.537359,30.512335,<49.096615 | 60.467594>,<-78.030861 | -57.705833>,<20.355907 | 70.956070>,<-85.610596 | -29.156206>,<158.850098 | 158.850098>,<-0.023757 | -0.023757>,<159.920654 | 159.920654>,<-0.026967 | -0.026967>,<-71.433807 | -71.433807>,<-159.928543 | -159.928543>,<-121.696014 | -121.696014>,<-159.964584 | -159.964584>,<24.094337 | 28.184481>,<-16.238094 | -0.023757>,<10.691523 | 29.808611>,<-30.401005 | -0.572720>,74.284859,79.862167,60.606716,78.281593
24,9.000000,334.510010,564.585022,0.120361,63.986588,66.188499,70.627251,63.094292,79.760910,79.994400,79.990601,79.569733,30.404474,30.332701,32.121311,30.512335,<43.821259 | 55.563194>,<-71.210953 | -50.513058>,<15.475048 | 59.076527>,<-78.301689 | -27.812189>,<158.850098 | 158.850098>,<-0.023757 | -0.023757>,<159.976242 | 159.976242>,<-0.026967 | -0.026967>,<-131.369400 | -131.369400>,<-159.928543 | -159.928543>,<-136.565201 | -136.565201>,<-159.830795 | -159.830795>,<5.105494 | 8.643923>,<-26.551018 | -3.107714>,<13.308974 | 19.150143>,<-15.779768 | -1.799561>,44.064594,65.174095,76.942688,79.569733
25,8.000000,359.600006,599.072693,197.084808,63.660179,67.032059,70.706276,63.878101,79.655579,79.994400,79.990601,79.650223,30.404474,30.642548,32.121311,30.512335,<37.068539 | 49.889416>,<-70.032234 | -49.723839>,<15.376157 | 56.881905>,<-75.826042 | -27.037378>,<158.850098 | 158.850098>,<-0.023757 | -0.023757>,<159.976242 | 159.976242>,<-0.026967 | -0.026967>,<-136.930344 | -136.930344>,<-159.928543 | -159.928543>,<-97.143509 | -97.143509>,<-159.830795 | -159.830795>,<19.768780 | 19.902086>,<-25.464083 | -1.565941>,<11.642839 | 30.370777>,<-17.214325 | -2.837336>,70.301575,75.490555,67.818604,50.754639
26,8.000000,350.649994,610.983032,0.345490,63.510208,67.147186,70.188286,61.240273,79.655579,79.994400,79.990601,79.650223,30.062891,39.827564,32.121311,30.428526,<37.257828 | 47.669403>,<-67.655685 | -47.157928>,<15.047222 | 53.167442>,<-69.180809 | -23.817616>,<158.850098 | 158.850098>,<-0.005941 | -0.005941>,<159.976242 | 159.976242>,<-0.026967 | -0.026967>,<-92.552185 | -92.552185>,<-159.928543 | -159.928543>,<-137.790207 | -137.790207>,<-159.682175 | -159.682175>,<24.094337 | 28.184481>,<-16.238094 | -0.023757>,<10.691523 | 29.808611>,<-30.401005 | -0.572720>,74.284859,79.862167,60.606716,78.281593
27,7.000000,366.459991,613.641113,110.596146,64.388245,64.879158,70.269890,61.962803,79.655579,79.994400,79.990601,79.667267,30.404474,33.211239,30.637949,30.512335,<34.593380 | 46.730171>,<-63.441174 | -41.860523>,<13.323581 | 50.351597>,<-65.003723 | -22.180153>,<158.850098 | 158.850098>,<-0.005941 | -0.005941>,<159.976242 | 159.976242>,<-0.026967 | -0.026967>,<-62.655956 | -62.655956>,<-159.928543 | -159.928543>,<-91.248528 | -91.248528>,<-159.672623 | -159.672623>,<10.247992 | 16.519869>,<-44.056873 | -0.005941>,<0.114651 | 5.856264>,<-4.050936 | -1.203791>,67.085114,39.827564,64.576256,59.060799
28,8.000000,376.600006,594.174438,0.091385,64.601151,65.687996,71.171188,62.109238,79.655579,79.994400,79.990601,79.667267,30.404474,35.173962,32.097954,30.512335,<29.002964 | 41.360836>,<-57.935390 | -37.034073>,<14.122730 | 48.751427>,<-62.009350 | -19.096483>,<159.189606 | 159.189606>,<-0.005941 | -0.005941>,<159.976242 | 159.976242>,<-0.026967 | -0.026967>,<-109.370422 | -109.370422>,<-159.928543 | -159.928543>,<-106.883797 | -106.883797>,<-159.936905 | -159.936905>,<19.768780 | 19.902086>,<-25.464083 | -1.565941>,<11.642839 | 30.370777>,<-17.214325 | -2.837336>,70.301575,75.490555,67.818604,50.754639
29,9.000000,384.980011,615.781799,242.943222,65.681183,65.200531,70.654060,62.057560,79.971420,79.994400,79.990601,79.667267,30.404474,35.173962,32.097954,30.512335,<26.336950 | 39.997730>,<-52.958111 | -34.358112>,<14.151775 | 47.193081>,<-57.420498 | -19.404938>,<159.045746 | 159.045746>,<-0.005941 | -0.005941>,<159.976242 | 159.976242>,<-0.026967 | -0.026967>,<-135.108215 | -135.108215>,<-159.928543 | -159.928543>,<-82.382790 | -82.382790>,<-159.936905 | -159.936905>,<10.247992 | 16.519869>,<-44.056873 | -0.005941>,<0.114651 | 5.856264>,<-4.050936 | -1.203791>,67.085114,39.827564,64.576256,59.060799
30,7.000000,394.470001,609.685791,145.708160,64.288857,65.305817,70.142723,62.485401,79.852623,79.994400,79.990601,79.788834,30.404474,35.173962,32.097954,30.512335,<28.139082 | 39.414097>,<-51.483383 | -33.153034>,<8.651928 | 39.311703>,<-51.199341 | -14.990118>,<159.846817 | 159.846817>,<-0.005941 | -0.005941>,<159.976242 | 159.976242>,<-0.026967 | -0.026967>,<-110.239502 | -110.239502>,<-159.870972 | -159.870972>,<-94.470375 | -94.470375>,<-159.936905 | -159.936905>,<5.105494 | 8.643923>,<-26.551018 | -3.107714>,<13.308974 | 19.150143>,<-15.779768 | -1.799561>,44.064594,65.174095,76.942688,79.569733
31,8.000000,389.420013,724.841614,109.732498,63.404907,65.165680,68.958099,58.865639,79.655579,79.994400,79.990601,79.788834,30.404474,35.173962,32.097954,30.512335,<24.803539 | 38.553558>,<-49.367592 | -28.085289>,<10.710798 | 39.132767>,<-45.729965 | -13.843911>,<159.045746 | 159.045746>,<-0.023757 | -0.023757>,<159.976242 | 159.976242>,<-0.026967 | -0.026967>,<-74.443169 | -74.443169>,<-159.528305 | -159.528305>,<-79.332031 | -79.332031>,<-159.936905 | -159.936905>,<13.391340 | 19.785997>,<-6.919072 | -0.220811>,<4.997622 | 13.188196>,<-35.050259 | -0.061449>,64.794243,79.254608,78.544304,50.030399
