Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
50,20,50,0.200000,0.075000,Tournament,Average
,,,,,,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation
22,2.000000,129.679993,250.515366,44.756714,41.672260,47.890839,40.762909,43.059795,78.872437,78.742004,79.629517,77.593384,0.306139,8.168194,2.787666,2.912586,<-8.962934 | 50.248035>,<-65.062149 | -34.531830>,<-12.907049 | 41.740402>,<-61.176250 | -32.036217>,<143.510651 | 143.510651>,<-0.680767 | -0.680767>,<144.018341 | 144.018341>,<-0.454060 | -0.454060>,<-133.279633 | -133.279633>,<-158.793427 | -158.793427>,<-96.604889 | -96.604889>,<-153.465347 | -153.465347>
23,4.000000,125.839996,233.815567,23.250860,40.766552,46.792038,40.134132,42.549374,78.872437,76.936378,79.629517,77.593384,0.306139,4.827555,2.787666,1.346600,<-3.768703 | 52.932785>,<-67.996529 | -36.799110>,<-16.166569 | 44.771454>,<-67.132225 | -36.426563>,<143.510651 | 143.510651>,<-0.680767 | -0.680767>,<144.018341 | 144.018341>,<-0.454060 | -0.454060>,<-113.365387 | -113.365387>,<-129.909836 | -129.909836>,<-102.778664 | -102.778664>,<-153.465347 | -153.465347>
24,2.000000,129.860001,224.924408,36.053432,41.116348,46.084225,42.292080,42.090576,78.872437,76.936378,79.629517,77.593384,0.306139,2.980062,5.120125,1.346600,<-2.480382 | 53.062523>,<-71.185204 | -37.095150>,<-10.489834 | 44.810753>,<-68.525116 | -37.879883>,<143.510651 | 143.510651>,<-0.680767 | -0.680767>,<144.018341 | 144.018341>,<-0.454060 | -0.454060>,<-113.365387 | -113.365387>,<-129.909836 | -129.909836>,<-96.604889 | -96.604889>,<-153.465347 | -153.465347>
25,0.000000,126.059998,224.457581,25.461178,40.616234,44.555000,41.818729,39.771011,78.872437,78.796585,79.629517,77.593384,6.324885,0.139740,5.120125,0.385962,<-4.651412 | 49.160545>,<-70.360840 | -34.603268>,<-9.956770 | 38.282455>,<-65.601959 | -39.077473>,<113.617546 | 113.617546>,<-0.680767 | -0.680767>,<127.676056 | 127.676056>,<-1.232574 | -1.232574>,<-76.941483 | -76.941483>,<-127.003822 | -127.003822>,<-96.604889 | -96.604889>,<-137.282166 | -137.282166>
26,4.000000,128.679993,229.907059,31.248404,43.911934,47.212364,42.396732,40.049652,78.990799,78.796585,79.629517,77.593384,6.324885,1.527826,2.028118,2.426220,<-10.861986 | 50.098339>,<-71.338379 | -36.187130>,<-9.629856 | 41.103073>,<-64.719772 | -35.475849>,<113.617546 | 113.617546>,<-1.303120 | -1.303120>,<127.676056 | 127.676056>,<-1.057629 | -1.057629>,<-155.811340 | -155.811340>,<-127.003822 | -127.003822>,<-130.824341 | -130.824341>,<-137.282166 | -137.282166>
27,2.000000,130.460007,229.858978,57.271137,45.174522,47.222237,41.526928,38.467220,78.990799,78.900871,79.629517,77.593384,6.324885,0.616749,4.385563,2.426220,<-8.449033 | 46.160694>,<-69.015381 | -33.597244>,<-4.793097 | 45.792667>,<-66.190102 | -37.657421>,<113.617546 | 113.617546>,<-1.303120 | -1.303120>,<156.701843 | 156.701843>,<-1.057629 | -1.057629>,<-101.049988 | -101.049988>,<-127.003822 | -127.003822>,<-130.824341 | -130.824341>,<-137.282166 | -137.282166>
28,6.000000,127.919998,225.131668,17.122766,44.053261,47.819893,44.808056,39.379784,78.990799,78.900871,79.629517,77.593384,1.065569,0.704140,1.991842,2.426220,<-10.450556 | 41.035709>,<-63.601509 | -28.409588>,<-6.863922 | 46.418800>,<-60.895073 | -33.514469>,<118.770813 | 118.770813>,<-1.303120 | -1.303120>,<149.097321 | 149.097321>,<-1.057629 | -1.057629>,<-116.995506 | -116.995506>,<-129.479889 | -129.479889>,<-139.386353 | -139.386353>,<-137.282166 | -137.282166>
29,4.000000,121.459999,234.412018,5.733074,41.442207,45.868008,41.944336,37.774570,78.990799,77.760483,79.424721,77.593384,1.065569,0.704140,0.362934,2.426220,<-8.015230 | 41.007164>,<-64.737793 | -28.954824>,<-3.027179 | 43.220459>,<-59.169689 | -33.513474>,<153.373444 | 153.373444>,<-1.303120 | -1.303120>,<127.676056 | 127.676056>,<-1.057629 | -1.057629>,<-83.548416 | -83.548416>,<-127.003822 | -127.003822>,<-130.824341 | -130.824341>,<-137.282166 | -137.282166>
30,0.000000,132.259995,228.439316,41.504566,42.673229,45.292702,44.846088,36.966606,78.990799,76.936378,74.764671,77.593384,1.065569,0.704140,0.362934,2.426220,<-5.497535 | 42.805580>,<-61.042915 | -33.893982>,<-5.727761 | 38.360477>,<-59.896069 | -34.517143>,<159.415955 | 159.415955>,<-0.576298 | -0.576298>,<156.958893 | 156.958893>,<-1.057629 | -1.057629>,<-76.941483 | -76.941483>,<-154.341080 | -154.341080>,<-109.039268 | -109.039268>,<-146.657074 | -146.657074>
31,2.000000,130.919998,229.849854,15.894330,45.529129,44.937027,44.240231,34.954288,78.990799,76.936378,76.189880,77.593384,1.065569,0.704140,0.362934,2.397490,<-4.187420 | 42.335957>,<-62.010815 | -34.697628>,<-4.078713 | 39.077618>,<-58.638813 | -32.704273>,<147.386353 | 147.386353>,<-0.576298 | -0.576298>,<156.958893 | 156.958893>,<-1.057629 | -1.057629>,<-98.950188 | -98.950188>,<-156.158157 | -156.158157>,<-109.039268 | -109.039268>,<-146.657074 | -146.657074>
