Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
10,10,50,0.200000,0.010000,Roulette,One point
,,,,,,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation
31,0.000000,102.000000,109.008286,78.125366,55.705360,67.483055,67.081429,51.145611,57.524597,75.858978,76.313614,53.198383,48.428413,33.979401,64.773384,42.934517,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-25.649267 | -5.985190>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-30.395737 | -30.395737>
32,0.000000,97.000000,109.964333,75.344475,53.886120,59.107140,69.389473,49.092834,57.524597,75.858978,76.313614,53.198383,48.428413,33.979401,64.773384,42.934517,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-26.242575 | -8.031263>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-30.395737 | -30.395737>
33,0.000000,99.000000,110.812141,63.728157,56.002052,65.367317,68.136963,47.911366,60.491501,75.858978,76.313614,53.198383,48.428413,33.979401,64.773384,31.119822,<4.898320 | 25.110676>,<-46.690895 | -37.637596>,<11.769408 | 26.420380>,<-26.340210 | -6.001143>,<35.676552 | 35.676552>,<-17.432964 | -17.432964>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<-1.069447 | -1.069447>,<-47.265442 | -47.265442>,<-23.446447 | -23.446447>,<-31.372080 | -31.372080>
34,0.000000,100.000000,109.869080,79.256577,54.795738,63.295094,68.235451,50.119225,57.524597,75.858978,76.313614,53.198383,48.428413,33.979401,64.773384,42.934517,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-26.242575 | -8.031263>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-30.395737 | -30.395737>
35,0.000000,106.000000,109.911247,79.634842,56.614979,71.671021,65.927406,52.172005,57.524597,75.858978,76.313614,53.198383,48.428413,33.979401,64.773384,42.934517,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-25.055958 | -3.939117>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-30.395737 | -30.395737>
36,0.000000,110.000000,110.384956,110.384956,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
37,0.000000,112.000000,112.562965,112.562965,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
38,0.000000,113.000000,113.848465,113.848465,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
39,0.000000,113.000000,113.406258,113.406258,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
40,0.000000,112.000000,112.235779,112.235779,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
